Features,None,SMOTE
T1_MOCA Memory,0.0372455478948098,0.041391487917830566
T1_TMT B,0.03226006996379359,0.03178551847956901
T1_MOCA,0.023682260444865134,0.021233722187914365
T1_digitspan,0.023046481864111394,0.027931176251025765
T1_TMT A,0.0213305486004607,0.016613529668749693
T1_MOCA Language,0.01715049495547454,0.03920269588773099
T1_SMI,0.015551928829099417,0.07015971744309345
T1_phq4,0.011791370049358324,0.00890489365940443
T1_MOCA Orientation,0.01067802908211302,0.02722147561966054
T1_MOCA Visuospatial/ Executive,0.009099774008650615,0.012836412414104822
T1_MOCA Abstraction,0.00871976020564614,0.01441004931874565
T1_phq4_Anxiety,0.007822672974525774,0.013581773385211934
T1_phq4_depression,0.007452238734117229,0.010251501188988587
T1_MOCA Attention,0.00740338570440916,0.018605124348746917
T1_MOCA Naming,0.002379041068102219,0.0036481724447015623
